420;3
360;2
360;7
420;4
0;0
0;0
420;1
60;1
60;6
60;1
300;6
300;7
420;4
240;3
60;4
360;3
420;7
120;1
300;6
0;0
120;7
240;4
120;6
360;5
120;1
240;3
60;1
120;2
0;0
180;2
60;6
0;0
360;5
60;1
0;0
120;6
300;2
180;4
0;0
0;0
120;5
420;2
60;2
60;3
60;2
300;7
300;3
60;1
0;0
120;1
60;1
120;2
300;6
300;2
60;1
360;5
300;2
360;2
60;1
60;1
180;3
420;4
240;2
360;1
360;3
0;0
60;4
60;6
240;3
420;2
300;5
420;4
360;6
60;1
360;6
0;1
420;3
180;4
120;6
120;6
300;3
120;1
300;6
360;6
0;0
120;2
300;5
120;4
240;6
300;1
360;3
300;4
300;1
240;4
300;6
0;0
360;6
120;1
240;6
180;4
240;5
240;3
300;1
180;4
120;1
0;0
240;6
180;7
360;1
120;3
420;7
240;4
300;6
360;6
240;2
60;1
300;7
360;6
120;1
60;1
300;4
180;1
60;7
120;5
120;1
300;6
420;2
360;6
300;2
360;5
120;5
420;3
420;7
300;2
300;2
300;6
300;3
0;0
120;1
120;3
60;1
180;1
420;7
360;2
120;6
300;3
0;0
120;6
240;2
0;0
0;0
0;0
420;6
300;1
0;0
300;6
0;0
0;0
60;1
180;2
240;1
300;7
120;2
300;4
60;7
240;7
420;7
120;3
60;3
180;5
180;6
240;6
120;1
240;2
180;1
360;3
360;6
360;5
420;5
360;3
120;2
420;6
0;0
60;1
300;6
60;3
240;7
0;0
180;7
300;7
240;2
0;0
420;6
0;0
120;1
300;4
120;2
120;1
120;2
180;3
60;1
120;7
180;3
0;0
0;0
240;5
0;2
300;5
240;1
0;0
300;6
420;7
300;3
360;1
120;4
60;1
300;6
120;6
240;6
420;7
0;0
0;0
0;0
0;0
120;7
240;6
360;3
60;1
240;7
60;2
120;4
120;4
60;5
0;0
120;1
360;7
300;5
180;3
60;2
120;4
0;0
60;7
420;3
420;3
180;2
360;6
420;4
420;3
360;1
300;6
420;7
240;2
0;0
0;0
360;7
300;4
300;1
240;5
240;2
360;7
60;1
120;5
300;2
0;0
240;4
240;2
60;2
0;0
420;4
120;1
240;6
180;4
0;0
60;3
60;1
300;7
300;7
120;3
300;3
300;5
180;2
300;3
420;6
180;4
180;7
360;4
420;7
420;7
240;5
60;7
300;6
240;5
120;6
240;3
360;5
300;1
420;5
180;5
0;0
420;2
0;0
420;7
120;1
60;1
60;1
240;1
240;3
300;7
120;7
180;2
300;5
120;3
0;0
240;6
0;0
360;6
360;3
300;3
120;5
0;1
300;1
0;0
0;0
240;6
120;7
120;6
360;6
60;1
360;7
420;6
120;3
180;7
60;6
180;2
120;6
0;1
0;0
120;6
420;6
420;3
120;4
60;7
120;3
60;1
240;7
300;1
300;6
0;0
180;1
60;1
300;7
360;6
60;2
180;4
180;7
120;7
60;2
360;6
360;7
300;1
120;2
360;4
0;0
120;6
300;4
0;0
180;3
360;7
60;2
180;1
240;5
420;7
0;0
60;2
300;7
420;6
180;4
120;4
0;0
60;1
300;7
0;0
300;1
360;7
420;7
180;5
180;2
300;3
180;7
360;2
60;1
420;7
120;5
120;3
180;6
120;4
420;6
300;6
60;1
360;6
240;7
300;3
420;6
0;0
360;3
420;2
240;6
0;0
300;5
240;2
120;3
0;0
240;7
420;4
300;5
360;2
300;5
180;3
180;1
300;4
360;7
120;6
360;6
180;1
240;1
120;2
240;4
360;3
120;1
420;7
60;1
300;4
0;0
120;3
60;1
420;7
0;0
180;3
420;5
0;0
420;7
120;3
60;6
300;7
180;4
120;1
300;6
0;0
0;0
300;3
240;7
300;7
60;1
180;4
300;7
120;1
420;3
240;1
120;1
420;3
240;4
0;0
180;1
0;0
120;1
120;3
420;1
180;3
240;3
0;0
120;3
420;6
60;7
240;4
420;3
240;3
180;5
180;2
120;7
120;5
360;5
300;3
360;5
360;1
420;7
120;3
120;1
120;1
0;0
0;0
420;3
300;1
0;0
120;1
60;1
120;3
300;6
180;2
60;3
0;0
0;0
240;2
120;3
360;6
420;5
60;3
180;3
60;1
240;4
60;2
300;3
0;0
300;1
120;2
240;4
0;0
240;3
420;6
120;2
240;4
120;6
0;0
180;4
120;7
0;0
360;7
0;0
360;1
120;3
60;2
120;2
180;3
180;2
0;0
420;4
60;1
300;7
120;7
300;4
180;2
120;5
240;4
120;5
120;5
360;5
120;1
240;3
120;3
120;3
420;7
420;6
420;7
120;1
360;6
60;2
180;3
420;3
180;6
300;6
240;6
180;1
0;0
0;0
240;5
0;0
60;2
60;1
300;2
120;1
360;6
180;2
0;0
360;7
60;2
180;2
120;5
300;4
420;1
240;7
360;5
120;1
60;3
300;2
420;6
180;1
240;5
60;4
300;7
300;2
300;3
240;3
120;3
360;3
360;7
360;7
180;3
120;1
120;6
360;3
0;0
240;6
300;2
120;1
60;2
0;0
120;3
180;4
120;2
240;3
120;6
120;6
0;0
120;5
300;1
360;3
0;0
240;6
300;7
60;6
0;0
300;6
300;6
180;3
120;2
0;0
360;7
0;0
420;6
300;6
420;5
180;5
420;7
180;3
300;3
420;7
0;0
360;2
300;7
360;3
0;0
360;4
120;1
120;5
300;4
180;2
120;3
60;3
300;7
120;6
300;4
420;5
120;1
60;1
0;0
420;5
420;4
420;5
120;4
300;6
0;0
300;1
120;3
120;2
360;6
360;1
300;6
60;6
60;1
360;6
120;5
0;0
120;1
120;2
180;1
240;1
0;0
240;6
0;0
60;7
180;4
120;7
0;0
60;3
60;1
120;1
120;3
300;7
0;0
420;3
120;2
120;4
300;6
180;1
180;3
240;3
240;3
60;2
120;4
60;1
120;5
300;1
300;1
300;6
0;0
300;5
420;1
180;3
120;1
120;7
360;4
60;1
60;2
120;3
300;5
360;7
240;4
300;3
0;0
300;5
120;6
60;1
420;6
180;7
420;3
180;6
240;7
120;2
300;2
300;3
420;7
420;7
0;0
120;3
240;4
120;4
300;3
0;0
240;2
180;6
0;0
300;2
240;3
300;6
420;7
120;2
420;2
180;5
360;6
120;7
300;5
420;3
120;7
120;3
420;7
120;2
60;1
300;4
360;1
300;5
120;1
360;1
0;0
0;0
120;7
120;3
360;7
60;1
0;0
120;2
300;3
0;0
180;6
420;5
180;1
180;2
0;0
240;4
0;0
180;4
180;1
120;7
240;3
0;0
120;6
0;0
360;3
0;0
360;7
120;3
300;6
120;1
300;1
0;0
240;7
120;1
300;1
180;6
0;0
360;7
180;1
240;4
420;6
120;2
120;7
180;6
180;2
180;6
120;3
300;7
120;2
360;5
180;1
300;2
120;1
180;1
420;2
300;7
120;3
180;4
120;3
120;3
180;3
420;6
0;0
240;1
360;3
360;6
120;3
420;7
420;6
180;1
0;0
420;6
60;6
420;7
240;4
180;4
120;5
360;1
360;3
120;6
180;2
300;2
60;6
180;5
0;0
360;1
60;4
360;6
120;4
420;3
420;6
120;3
120;1
300;2
360;2
180;2
60;7
60;1
60;1
0;0
120;3
420;7
120;1
240;7
0;0
0;0
300;2
120;7
240;2
0;0
0;0
420;1
240;2
300;2
420;7
240;6
120;2
360;6
180;6
0;0
120;2
360;4
360;6
120;1
120;1
180;3
120;3
120;4
300;7
60;1
240;2
120;6
180;5
420;7
300;5
120;1
60;1
360;5
120;7
420;7
0;1
120;1
300;6
240;2
240;7
60;2
360;6
240;4
180;2
180;7
120;6
300;6
120;2
360;7
300;7
300;6
120;4
0;0
0;0
120;3
120;3
300;2
0;0
300;2
240;6
360;7
180;1
420;1
180;6
360;7
0;0
360;4
360;5
300;2
300;5
120;4
180;4
120;7
300;1
240;4
120;2
0;0
60;2
0;1
180;1
0;0
120;3
240;2
120;4
300;2
360;4
420;6
180;1
360;4
60;1
300;7
420;7
240;4
420;3
300;7
120;2
300;1
0;0
60;7
240;6
360;5
120;6
180;1
240;2
0;0
120;7
120;4
240;4
120;1
120;2
180;1
180;6
120;3
300;4
0;0
120;7
300;2
60;3
0;0
120;1
0;0
300;7
120;3
360;6
420;7
120;5
300;1
420;3
60;3
180;2
0;1
300;7
240;7
240;7
0;0
180;1
60;6
420;3
240;1
420;5
420;2
120;2
360;4
120;1
120;1
120;7
180;4
120;7
360;4
180;3
240;6
300;6
120;4
300;3
60;1
300;3
420;7
120;6
60;2
60;1
300;7
120;1
240;7
60;1
300;2
420;7
360;1
120;2
240;2
60;1
0;0
60;2
120;6
0;0
60;2
180;2
360;2
240;7
300;2
240;1
120;4
120;1
120;3
60;1
60;1
240;2
120;1
120;3
0;0
300;4
300;3
120;3
420;7
180;2
300;1
420;2
60;2
360;2
240;1
60;1
120;2
300;7
360;5
60;1
360;6
120;1
180;7
360;6
240;1
300;2
360;3
60;4
180;4
240;1
180;2
180;2
360;3
420;7
360;7
120;4
180;3
240;7
180;4
180;3
120;7
60;5
300;2
300;6
120;1
60;7
420;7
120;3
60;3
300;4
300;2
300;1
240;5
60;2
0;0
120;3
120;2
180;3
360;6
120;4
180;1
0;0
240;1
180;2
120;4
180;7
0;0
180;4
360;4
180;6
420;6
120;7
300;1
60;7
300;3
180;3
300;7
60;6
300;2
120;1
60;6
120;3
300;2
60;1
240;2
300;7
240;5
120;4
240;2
360;2
360;3
420;4
180;3
420;7
420;3
0;0
300;2
0;0
240;6
300;2
0;0
300;7
0;0
420;6
300;5
60;4
420;6
300;1
0;0
360;1
0;0
360;6
0;0
60;4
360;2
240;5
420;7
120;3
120;2
180;6
360;6
180;1
240;1
420;2
60;2
420;7
420;4
0;0
120;1
240;1
360;6
300;7
0;0
240;5
0;0
300;4
240;5
240;6
180;6
420;4
300;6
0;0
60;4
180;1
300;3
300;2
120;3
0;0
120;6
300;7
180;6
300;5
180;2
300;7
420;6
420;7
180;6
300;5
300;7
0;0
360;2
0;0
300;6
420;1
0;0
360;2
300;6
420;1
0;0
300;5
240;1
300;7
360;3
180;4
0;0
120;7
240;1
420;5
60;2
0;0
120;3
120;2
240;5
180;6
0;0
360;6
360;5
300;6
60;2
420;7
300;7
120;3
120;3
0;0
300;7
60;2
420;3
360;3
0;0
180;5
120;3
360;2
240;2
120;2
120;4
420;1
420;7
0;0
360;5
240;2
0;0
120;6
60;1
420;7
240;2
120;2
300;6
420;5
0;0
180;6
420;3
420;6
120;6
240;7
60;2
60;1
180;6
120;5
120;3
120;3
120;2
360;7
180;5
240;7
0;0
0;0
0;0
360;4
240;1
240;7
360;3
240;2
60;1
180;5
240;6
60;2
60;1
300;1
300;5
240;5
180;5
300;6
420;5
180;4
300;5
120;4
0;0
180;2
120;2
60;2
60;1
300;1
60;3
60;5
420;1
300;7
60;1
180;1
0;0
300;6
300;2
60;7
360;3
420;6
360;2
120;1
180;2
300;7
0;0
360;7
120;4
420;5
360;2
360;3
240;7
300;5
360;7
300;4
120;3
120;5
360;1
360;7
420;3
240;6
360;7
0;0
0;0
240;1
420;6
0;0
180;2
240;7
300;7
300;7
120;6
120;6
60;1
60;1
360;5
420;7
180;1
240;2
300;7
60;4
420;2
60;7
360;7
120;1
180;3
300;6
180;2
240;7
0;1
180;7
420;6
120;2
300;7
180;1
300;6
300;3
0;0
300;2
300;7
0;0
120;4
360;1
0;0
0;0
300;2
300;3
120;3
360;4
60;5
60;1
240;1
60;2
360;7
0;0
0;0
60;7
300;5
360;3
120;3
180;4
300;2
120;3
60;1
300;1
180;1
60;1
0;0
420;2
360;2
300;5
300;6
180;6
60;1
120;5
60;1
420;2
300;5
180;6
0;0
60;3
120;1
120;1
120;1
420;7
120;1
120;2
420;2
300;1
60;2
240;4
120;2
300;7
180;2
0;0
420;3
240;6
60;1
240;3
420;5
420;6
60;1
240;7
240;1
120;3
0;0
0;0
240;3
180;4
180;3
60;5
240;6
120;6
420;7
180;2
0;0
240;2
240;3
60;2
420;5
120;2
120;1
120;7
420;6
300;1
0;0
420;1
300;2
0;0
0;0
240;6
60;1
180;7
180;2
420;3
240;7
360;7
60;1
300;6
300;4
300;7
180;3
360;7
120;1
420;7
0;0
240;3
120;1
420;4
420;4
180;3
240;1
180;2
0;0
420;3
240;7
60;1
360;4
360;6
360;3
180;3
300;5
120;7
60;2
120;5
0;1
420;1
120;1
0;0
300;1
120;2
120;3
180;2
60;2
420;2
360;7
120;7
60;6
300;7
300;7
120;1
120;7
0;0
180;7
240;5
420;6
420;7
180;6
420;4
300;4
120;2
60;1
300;3
120;5
420;5
180;2
60;2
120;1
300;7
120;3
120;2
300;6
420;7
180;2
420;7
120;2
240;1
300;3
120;3
180;4
120;2
300;3
240;3
300;6
60;2
120;3
360;5
300;6
0;0
300;6
0;0
300;2
120;7
300;5
60;3
180;7
120;6
180;3
120;1
300;2
180;1
120;2
0;0
0;0
180;6
60;1
120;1
300;3
120;2
360;2
60;1
60;1
60;3
180;4
60;4
300;4
0;0
420;4
120;2
60;1
60;1
240;4
120;6
360;4
60;2
0;2
0;0
180;6
0;0
360;5
420;7
300;2
300;4
120;1
180;3
300;6
420;6
180;5
300;6
360;7
360;1
300;7
420;6
120;3
0;0
120;1
300;2
240;7
240;5
180;1
420;6
60;3
60;4
0;0
300;3
300;7
0;0
120;1
120;1
300;2
300;2
420;6
120;1
180;2
0;0
360;7
360;2
60;3
240;7
60;3
60;7
240;7
0;0
180;2
300;7
120;2
180;4
300;6
300;6
300;1
0;0
120;2
360;7
300;2
180;1
300;3
360;7
0;0
360;7
360;7
120;6
360;6
0;0
300;6
360;6
420;2
240;4
180;5
420;7
360;3
360;2
120;2
60;1
180;2
180;7
360;7
120;2
180;7
60;3
420;5
300;2
0;0
120;6
120;3
240;5
120;7
60;2
60;3
120;1
0;0
360;1
420;2
120;4
0;0
180;3
180;1
300;7
300;5
300;3
0;0
0;0
300;5
300;2
420;5
180;5
0;0
360;7
180;6
300;3
120;4
240;7
0;0
180;6
120;1
60;5
120;2
240;2
120;7
300;2
120;4
240;4
360;7
120;2
60;3
420;2
300;6
420;7
120;6
420;6
300;4
180;7
120;5
240;3
360;4
120;1
300;2
120;4
360;6
60;2
180;1
360;7
240;7
300;7
120;1
420;7
300;6
180;4
120;7
300;7
120;1
360;7
420;7
360;5
60;2
0;0
120;6
120;4
60;1
300;7
360;3
0;0
420;7
60;2
360;3
0;0
120;7
120;1
420;6
120;2
180;1
60;3
0;0
120;3
120;5
180;5
60;4
420;6
300;3
0;0
180;5
300;2
60;3
120;1
420;7
240;7
0;0
240;3
360;3
60;4
240;5
120;4
120;1
0;0
120;5
360;5
180;7
360;7
300;1
300;2
120;4
180;6
240;2
360;2
420;2
180;6
300;6
60;4
420;3
120;2
0;0
180;7
60;4
0;0
300;4
360;5
180;3
420;7
0;0
120;3
420;2
0;0
0;0
300;7
120;1
120;4
180;1
0;0
300;7
60;1
120;4
180;6
420;7
240;2
120;5
120;6
60;1
0;0
300;2
420;3
360;2
120;1
180;2
120;7
300;2
60;3
300;5
0;0
120;3
0;0
120;2
300;6
240;6
360;3
240;6
360;2
120;3
180;7
420;7
120;3
420;4
360;3
300;4
60;1
0;0
360;2
180;6
300;7
0;0
420;6
360;3
240;5
0;0
0;0
360;7
240;3
180;2
0;0
0;0
0;0
300;6
240;6
0;0
60;1
300;5
0;0
240;5
300;1
0;0
120;5
240;3
300;7
180;4
120;4
240;5
60;2
120;3
0;0
120;5
240;4
300;3
240;7
360;7
360;2
360;4
240;4
120;3
300;3
180;3
0;0
60;6
420;7
360;6
240;6
120;2
120;3
180;3
120;6
420;5
360;6
420;5
360;6
180;3
120;6
420;6
360;2
180;1
180;6
0;0
360;2
0;0
60;1
300;6
0;0
300;4
240;5
0;0
60;1
360;6
180;6
0;0
0;0
240;2
360;2
300;2
360;6
420;7
120;6
0;0
180;6
420;7
300;4
240;2
360;6
0;0
60;2
60;1
300;1
180;1
300;7
360;7
300;1
300;6
180;6
120;2
120;6
360;7
0;3
300;3
60;5
60;1
180;2
360;6
420;4
0;0
240;5
120;5
360;3
300;6
240;6
420;7
240;2
360;6
300;1
0;0
360;4
420;6
0;0
420;6
180;2
120;4
0;0
300;7
120;1
0;0
180;2
180;7
360;7
360;7
300;3
120;5
360;3
0;0
300;2
60;3
60;1
420;7
300;4
120;3
60;5
180;1
120;2
300;2
360;1
60;1
420;7
120;2
360;7
240;3
60;2
0;0
0;0
240;1
300;4
300;6
240;2
420;5
240;7
300;7
0;0
300;4
180;6
360;3
300;7
300;1
0;0
240;1
360;2
240;1
420;6
180;2
60;3
360;5
300;6
120;6
360;2
300;7
180;5
300;2
0;0
360;3
300;1
0;0
60;5
60;1
420;1
60;4
180;3
360;5
180;2
60;5
60;5
360;7
120;4
300;7
120;3
360;3
60;2
120;3
360;5
300;3
180;2
60;2
360;2
240;3
60;3
120;7
360;6
240;1
120;3
240;2
300;7
0;0
360;3
180;4
180;6
0;0
360;2
0;0
0;0
300;5
120;3
60;4
300;2
360;2
300;2
420;4
360;3
420;7
0;0
120;7
300;1
60;2
180;2
300;2
420;3
180;7
240;2
120;1
240;7
420;6
180;1
180;7
60;3
180;2
240;6
300;3
300;2
240;3
60;1
360;1
120;1
300;6
180;6
60;1
120;2
120;1
120;1
420;2
120;1
120;6
360;4
120;6
120;4
120;4
180;6
120;2
120;7
180;1
420;5
300;6
180;6
420;7
0;0
240;7
300;3
120;1
180;7
120;4
240;2
420;7
360;2
420;7
300;3
0;0
180;2
360;7
120;3
120;2
0;0
60;1
180;5
420;4
60;1
180;4
120;2
0;0
60;1
60;1
0;0
120;4
60;1
0;0
300;7
0;0
360;6
120;5
360;7
240;1
240;4
420;6
120;6
240;7
420;6
180;4
300;5
180;4
60;1
420;2
420;4
120;5
180;3
0;0
240;2
180;6
120;6
300;5
0;0
420;3
240;6
0;0
300;7
120;5
360;2
180;2
0;0
240;3
120;3
300;5
300;6
420;1
120;5
60;1
360;5
0;0
300;1
0;0
120;6
120;5
180;2
300;3
360;4
0;0
300;1
0;0
120;1
60;2
240;2
0;0
360;3
120;6
360;2
360;7
300;1
240;1
300;6
300;5
0;0
120;1
300;4
0;0
300;7
420;7
120;2
120;4
240;6
360;2
300;5
60;2
360;6
240;7
360;5
0;0
120;2
180;1
120;6
0;0
120;2
300;3
120;1
180;3
240;7
240;3
0;0
0;1
420;3
180;1
360;1
60;5
420;4
60;2
0;0
120;7
420;5
0;0
60;4
420;7
240;3
300;3
120;2
420;6
180;3
300;5
120;1
120;3
180;7
300;3
60;1
60;3
120;2
0;0
420;7
0;0
420;6
240;7
420;2
360;4
240;6
240;6
300;1
120;1
120;2
420;5
420;5
300;3
180;4
300;4
0;0
0;0
0;0
0;0
180;3
60;2
120;1
120;6
360;3
120;7
180;5
180;6
180;3
60;1
0;0
360;1
120;1
360;2
300;2
300;7
300;6
360;3
360;5
420;6
420;3
300;4
60;2
300;7
0;0
240;1
0;0
300;6
180;7
180;6
60;1
300;3
420;3
120;1
300;6
180;6
120;2
240;7
120;1
180;1
60;1
120;4
120;2
300;5
0;0
360;5
60;3
0;0
420;7
120;2
240;5
120;7
240;7
120;2
420;7
180;4
60;2
120;5
0;0
420;6
300;5
180;1
300;1
60;6
420;7
180;2
420;2
60;5
240;2
420;7
120;4
60;1
